let,num,pref_en,cityname_en,pref_ja,cityname_ja
州,16,nagano,nagano,長野県,長野市
ピ,1,saitama,misato,埼玉県,三郷市
ア,2,ishikawa,uchinada,石川県,河北郡内灘町
閏,1,saitama,hasuda,埼玉県,蓮田市
に,1,saitama,sakado,埼玉県,坂戸市
っ,1,saitama,sakado,埼玉県,坂戸市
槙,1,saitama,satte,埼玉県,幸手市
現,2,aichi,seto,愛知県,瀬戸市
脚,2,saitama,tsurugashima,埼玉県,鶴ヶ島市
味,25,miyagi,kami,宮城県,加美郡加美町
売,6,hyogo,takaradsuka,兵庫県,宝塚市
苦,6,hyogo,nishinomiya,兵庫県,西宮市
如,4,kyoto,kamigyo,京都府,京都市上京区
意,4,shimane,matsue,島根県,松江市
廣,3,fukuoka,miyama,福岡県,みやま市
将,7,kyoto,kita,京都府,京都市北区
軍,7,kyoto,kita,京都府,京都市北区
靭,1,saitama,ogawa,埼玉県,比企郡小川町
負,2,shizuoka,iwata,静岡県,磐田市
狢,2,saitama,kawajima,埼玉県,比企郡川島町
楓,1,saitama,hatoyama,埼玉県,比企郡鳩山町
般,8,aichi,konan,愛知県,江南市
郡,28,yamaguchi,yamaguchi,山口県,山口市
吐,1,saitama,kamisato,埼玉県,児玉郡上里町
黛,1,saitama,kamisato,埼玉県,児玉郡上里町
勅,2,hyogo,tanba,兵庫県,丹波市
使,2,hyogo,tanba,兵庫県,丹波市
露,3,tottori,tottori,鳥取県,鳥取市
佛,2,saitama,miyashiro,埼玉県,南埼玉郡宮代町
粂,2,saitama,miyashiro,埼玉県,南埼玉郡宮代町
茨,13,hokkaido,kita,北海道,札幌市北区
屏,2,wakayama,wakayama,和歌山県,和歌山市
ヱ,3,aichi,minami,愛知県,名古屋市南区
覚,6,kyoto,ukyo,京都府,京都市右京区
命,1,aichi,chikusa,愛知県,名古屋市千種区
汁,1,aichi,chikusa,愛知県,名古屋市千種区
振,3,osaka,ibaraki,大阪府,枚方市
猫,1,aichi,chikusa,愛知県,名古屋市千種区
添,7,hyogo,harima,兵庫県,加古郡播磨町
葵,2,kyoto,kita,京都府,京都市北区
竪,12,kyoto,kamigyo,京都府,京都市上京区
橦,1,aichi,higashi,愛知県,名古屋市東区
税,1,aichi,higashi,愛知県,名古屋市東区
筒,3,hiroshima,akiota,広島県,山県郡安芸太田町
倫,1,aichi,higashi,愛知県,名古屋市東区
鋺,5,aichi,kita,愛知県,名古屋市北区
彩,5,osaka,yao,大阪府,茨木市
投,1,aichi,kita,愛知県,名古屋市北区
稚,2,kyoto,yamashina,京都府,京都市山科区
憧,1,aichi,kita,愛知県,名古屋市北区
旛,1,aichi,kita,愛知県,名古屋市北区
桝,3,kyoto,fushimi,京都府,京都市伏見区
瑠,1,aichi,kita,愛知県,名古屋市北区
璃,1,aichi,kita,愛知県,名古屋市北区
貴,16,wakayama,kinokawa,和歌山県,紀の川市
康,2,aichi,okazaki,愛知県,岡崎市
則,4,gifu,gifu,岐阜県,岐阜市
幅,2,iwate,yahaba,岩手県,紫波郡矢巾町
枇,63,aichi,kiyosu,愛知県,清須市
杷,63,aichi,kiyosu,愛知県,清須市
運,3,aichi,nakagawa,愛知県,名古屋市中川区
付,3,fukushima,kitakata,福島県,喜多方市
薙,3,shizuoka,shimizu,静岡県,静岡市清水区
閤,8,toyama,izumi,富山県,射水市
筬,1,aichi,nakamura,愛知県,名古屋市中村区
賑,8,osaka,sakai,大阪府,堺市堺区
置,25,osaka,sakaihigashi,大阪府,堺市東区
鈍,2,kagoshima,setouchi,鹿児島県,大島郡瀬戸内町
靖,1,aichi,nakamura,愛知県,名古屋市中村区
器,3,aichi,showa,愛知県,名古屋市昭和区
構,4,hyogo,himeji,兵庫県,姫路市
檀,7,miyagi,kami,宮城県,加美郡加美町
溪,18,oita,nakatsu,大分県,中津市
郊,1,aichi,showa,愛知県,名古屋市昭和区
陶,5,aichi,seto,愛知県,瀬戸市
事,5,aichi,tenpaku,愛知県,名古屋市天白区
莨,1,aichi,mizuho,愛知県,名古屋市瑞穂区
雁,16,hokkaido,higashi,北海道,札幌市東区
薩,2,kagoshima,ichikikushikino,鹿児島県,いちき串木野市
敲,1,aichi,mizuho,愛知県,名古屋市瑞穂区
渓,13,oita,nakatsu,大分県,中津市
密,1,aichi,mizuho,愛知県,名古屋市瑞穂区
柑,2,shiga,konan,滋賀県,湖南市
劔,2,niigata,kashiwazaki,新潟県,柏崎市
彌,3,aichi,mizuho,愛知県,名古屋市瑞穂区
熱,10,fukushima,koriyama,福島県,郡山市
笈,1,aichi,nakagawa,愛知県,名古屋市中川区
碓,2,aichi,minato,愛知県,名古屋市港区
蟷,1,aichi,nakagawa,愛知県,名古屋市中川区
螂,1,aichi,nakagawa,愛知県,名古屋市中川区
蔦,3,kyoto,sakyo,京都府,京都市左京区
包,2,nara,nara,奈良県,奈良市
服,7,osaka,ikeda,大阪府,豊中市
剱,1,aichi,nakagawa,愛知県,名古屋市中川区
惟,1,aichi,minato,愛知県,名古屋市港区
魁,1,aichi,minato,愛知県,名古屋市港区
凪,1,aichi,minato,愛知県,名古屋市港区
甚,4,wakayama,wakayama,和歌山県,和歌山市
泰,2,kyoto,kamigyo,京都府,京都市上京区
協,10,akita,daisen,秋田県,大仙市
駈,1,aichi,minami,愛知県,名古屋市南区
柵,1,aichi,minami,愛知県,名古屋市南区
同,2,hyogo,himeji,兵庫県,姫路市
鯛,1,aichi,minami,愛知県,名古屋市南区
竈,6,mie,minamiise,三重県,度会郡南伊勢町
全,2,aichi,inazawa,愛知県,稲沢市
栖,31,kyoto,fushimi,京都府,京都市伏見区
鳴,23,kyoto,ukyo,京都府,京都市右京区
呼,7,saga,karatsu,佐賀県,唐津市
燈,2,kyoto,sakyo,京都府,京都市左京区
桔,19,mie,nabari,三重県,名張市
梗,19,mie,nabari,三重県,名張市
更,16,nagano,nagano,長野県,長野市
翠,2,hiroshima,minami,広島県,広島市南区
鼓,1,aichi,moriyama,愛知県,名古屋市守山区
孝,1,aichi,moriyama,愛知県,名古屋市守山区
姥,4,kyoto,kamigyo,京都府,京都市上京区
篭,16,osaka,sakai,大阪府,堺市堺区
陵,36,osaka,sakai,大阪府,堺市堺区
鞍,4,kyoto,sakyo,京都府,京都市左京区
照,4,miyagi,kami,宮城県,加美郡加美町
聞,5,hyogo,tarumi,兵庫県,神戸市垂水区
飽,15,hokkaido,kushiro,北海道,釧路市
薮,3,gifu,gifu,岐阜県,岐阜市
往,2,aomori,tohoku,青森県,上北郡東北町
完,1,aichi,toyohashi,愛知県,豊橋市
尺,6,hokkaido,kushiro,北海道,釧路市
畷,1,aichi,toyohashi,愛知県,豊橋市
呉,27,shiga,nagahama,滋賀県,長浜市
菰,2,fukuoka,izuka,福岡県,飯塚市
嵩,2,okinawa,ginowan,沖縄県,宜野湾市
談,1,aichi,toyohashi,愛知県,豊橋市
縞,1,aichi,toyohashi,愛知県,豊橋市
冨,7,toyama,toyama,富山県,富山市
隆,1,aichi,okazaki,愛知県,岡崎市
樹,2,aomori,hirosaki,青森県,弘前市
鶇,1,aichi,okazaki,愛知県,岡崎市
歓,2,kyoto,kamigyo,京都府,京都市上京区
帖,3,aichi,okazaki,愛知県,岡崎市
性,1,aichi,okazaki,愛知県,岡崎市
崗,1,aichi,okazaki,愛知県,岡崎市
印,6,aichi,owariasahi,愛知県,尾張旭市
ん,9,mie,nabari,三重県,名張市
降,2,aichi,ichinomiya,愛知県,一宮市
於,2,yamaguchi,mine,山口県,美祢市
受,3,niigata,nishikan,新潟県,新潟市西蒲区
枠,1,aichi,ichinomiya,愛知県,一宮市
杁,9,aichi,konan,愛知県,江南市
杏,1,aichi,seto,愛知県,瀬戸市
鐘,2,iwate,oshu,岩手県,奥州市
窯,4,aichi,seto,愛知県,瀬戸市
ょ,2,iwate,ichinoseki,岩手県,一関市
位,3,yamagata,yamagata,山形県,山形市
效,1,aichi,seto,愛知県,瀬戸市
範,1,aichi,seto,愛知県,瀬戸市
瘤,1,aichi,seto,愛知県,瀬戸市
背,2,kyoto,yawata,京都府,八幡市
懐,1,aichi,seto,愛知県,瀬戸市
凧,1,aichi,seto,愛知県,瀬戸市
巡,1,aichi,seto,愛知県,瀬戸市
刎,1,aichi,seto,愛知県,瀬戸市
床,3,hokkaido,nemuro,北海道,根室市
て,1,aichi,seto,愛知県,瀬戸市
捨,1,aichi,handa,愛知県,半田市
稗,7,kyoto,kameoka,京都府,亀岡市
鴉,1,aichi,handa,愛知県,半田市
勘,2,kyoto,kamigyo,京都府,京都市上京区
滑,20,hokkaido,monbetsu,北海道,紋別市
号,280,hokkaido,kamifurano,北海道,空知郡上富良野町
午,2,gifu,hashima,岐阜県,羽島市
億,3,aichi,handa,愛知県,半田市
宜,3,osaka,yao,大阪府,茨木市
ぞ,1,aichi,handa,愛知県,半田市
兀,1,aichi,handa,愛知県,半田市
柊,1,aichi,handa,愛知県,半田市
葭,4,kyoto,fushimi,京都府,京都市伏見区
酉,1,aichi,kasugai,愛知県,春日井市
臣,2,hyogo,tatsuno,兵庫県,たつの市
噴,1,aichi,kasugai,愛知県,春日井市
輝,5,kagoshima,kanoya,鹿児島県,鹿屋市
堺,2,fukui,eiheiji,福井県,吉田郡永平寺町
為,9,fukui,sakai,福井県,坂井市
泙,1,aichi,toyokawa,愛知県,豊川市
筏,1,aichi,tsushima,愛知県,津島市
麸,1,aichi,tsushima,愛知県,津島市
埋,1,aichi,tsushima,愛知県,津島市
兎,5,aomori,gonohe,青森県,三戸郡五戸町
莪,1,aichi,tsushima,愛知県,津島市
詰,5,kyoto,kamigyo,京都府,京都市上京区
度,21,mie,kuwana,三重県,桑名市
銭,2,nagasaki,nagasaki,長崎県,長崎市
踏,3,shizuoka,nishi,静岡県,浜松市西区
逢,14,miyagi,watari,宮城県,亘理郡亘理町
蘭,4,hyogo,kita,兵庫県,神戸市北区
畝,4,aichi,kiyosu,愛知県,清須市
挙,2,aichi,toyota,愛知県,豊田市
鴛,2,ishikawa,kanazawa,石川県,金沢市
蕪,1,aichi,toyota,愛知県,豊田市
首,19,okinawa,naha,沖縄県,那覇市
榑,3,mie,inabe,三重県,いなべ市
榊,1,aichi,toyota,愛知県,豊田市
李,4,aomori,shichinohe,青森県,上北郡七戸町
貞,2,tokushima,tokushima,徳島県,徳島市
ト,5,fukushima,inawashiro,福島県,耶麻郡猪苗代町
ヨ,1,aichi,toyota,愛知県,豊田市
配,1,aichi,toyota,愛知県,豊田市
節,2,gifu,gifu,岐阜県,岐阜市
杭,4,hyogo,amagasaki,兵庫県,尼崎市
饗,1,aichi,nishio,愛知県,西尾市
巨,4,saga,saga,佐賀県,佐賀市
斉,2,kyoto,fushimi,京都府,京都市伏見区
肴,1,aichi,nishio,愛知県,西尾市
対,20,nagasaki,tsushima,長崎県,対馬市
梛,1,aichi,nishio,愛知県,西尾市
駮,1,aichi,nishio,愛知県,西尾市
巾,3,aichi,inuyama,愛知県,犬山市
破,2,kochi,shimanto,高知県,高岡郡四万十町
斧,1,aichi,inuyama,愛知県,犬山市
研,1,aichi,inuyama,愛知県,犬山市
與,2,hyogo,kamigori,兵庫県,赤穂郡上郡町
乳,1,aichi,tokoname,愛知県,常滑市
竺,2,aichi,tokoname,愛知県,常滑市
隅,18,shimane,hamada,島根県,浜田市
堕,1,aichi,tokoname,愛知県,常滑市
耳,2,ishikawa,kaga,石川県,加賀市
鯉,1,aichi,tokoname,愛知県,常滑市
晩,1,aichi,tokoname,愛知県,常滑市
童,11,aichi,konan,愛知県,江南市
伍,1,aichi,konan,愛知県,江南市
幼,1,aichi,konan,愛知県,江南市
舗,1,aichi,konan,愛知県,江南市
鋳,1,aichi,konan,愛知県,江南市
弟,2,yamaguchi,shimonoseki,山口県,下関市
雅,1,aichi,komaki,愛知県,小牧市
違,4,kyoto,fushimi,京都府,京都市伏見区
梵,4,akita,yurihonjo,秋田県,由利本荘市
績,2,aichi,inazawa,愛知県,稲沢市
儀,3,okinawa,naha,沖縄県,那覇市
鰹,1,aichi,shinshiro,愛知県,新城市
玖,2,hiroshima,otake,広島県,大竹市
副,13,saga,saga,佐賀県,佐賀市
僧,3,kyoto,fushimi,京都府,京都市伏見区
巽,4,kyoto,ukyo,京都府,京都市右京区
迎,22,nagasaki,sasebo,長崎県,佐世保市
濁,1,aichi,owariasahi,愛知県,尾張旭市
陀,56,nara,uda,奈良県,宇陀市
湫,1,aichi,owariasahi,愛知県,尾張旭市
碧,1,aichi,takahama,愛知県,高浜市
論,1,aichi,takahama,愛知県,高浜市
鰯,1,aichi,aisai,愛知県,愛西市
棒,1,aichi,aisai,愛知県,愛西市
検,3,kagoshima,uken,鹿児島県,大島郡宇検村
亥,2,fukushima,aidsubange,福島県,河沼郡会津坂下町
替,2,kyoto,shimogyo,京都府,京都市下京区
葬,1,aichi,kiyosu,愛知県,清須市
丑,2,aichi,kiyosu,愛知県,清須市
ロ,4,hokkaido,ozora,北海道,斜里郡斜里町
蛸,2,mie,matsusaka,三重県,松阪市
寅,1,aichi,kiyosu,愛知県,清須市
灰,2,kyoto,nishikyo,京都府,京都市西京区
鍜,2,aichi,kitanagoya,愛知県,北名古屋市
桴,1,aichi,yatomi,愛知県,弥富市
鯏,1,aichi,yatomi,愛知県,弥富市
鮫,1,aichi,yatomi,愛知県,弥富市
蜆,2,aichi,yatomi,愛知県,弥富市
莇,2,fukui,fukui,福井県,福井市
鯰,1,aichi,ama,愛知県,あま市
婦,100,toyama,toyama,富山県,富山市
邸,2,hyogo,himeji,兵庫県,姫路市
繩,1,aichi,nagakute,愛知県,長久手市
琵,2,kyoto,minami,京都府,京都市南区
琶,2,kyoto,minami,京都府,京都市南区
櫨,9,hyogo,nishi,兵庫県,神戸市西区
涼,1,aichi,togo,愛知県,愛知郡東郷町
蓋,1,aichi,kanie,愛知県,海部郡蟹江町
渚,20,hokkaido,monbetsu,北海道,紋別市
椋,4,yamaguchi,shimonoseki,山口県,下関市
緒,35,oita,bungoono,大分県,豊後大野市
ヲ,2,aichi,taketoyo,愛知県,知多郡武豊町
ヒ,3,fukushima,inawashiro,福島県,耶麻郡猪苗代町
ジ,1,aichi,taketoyo,愛知県,知多郡武豊町
具,2,kochi,shimanto,高知県,高岡郡四万十町
邦,2,okinawa,okinawa,沖縄県,沖縄市
設,1,aichi,toei,愛知県,北設楽郡東栄町
秤,5,kyoto,kamigyo,京都府,京都市上京区
穀,3,akita,akita,秋田県,秋田市
鼠,1,akita,akita,秋田県,秋田市
鳰,1,akita,akita,秋田県,秋田市
休,2,akita,akita,秋田県,秋田市
で,1,akita,akita,秋田県,秋田市
蕗,1,akita,akita,秋田県,秋田市
サ,2,hokkaido,teshio,北海道,天塩郡天塩町
鯲,1,akita,akita,秋田県,秋田市
碇,3,aomori,hirakawa,青森県,平川市
繋,1,akita,akita,秋田県,秋田市
悪,4,akita,noshiro,秋田県,能代市
儘,1,akita,noshiro,秋田県,能代市
詠,1,akita,noshiro,秋田県,能代市
臥,1,akita,noshiro,秋田県,能代市
岱,16,kumamoto,tamana,熊本県,玉名市
塞,1,akita,noshiro,秋田県,能代市
域,1,akita,noshiro,秋田県,能代市
昇,1,akita,noshiro,秋田県,能代市
機,1,akita,noshiro,秋田県,能代市
轌,1,akita,noshiro,秋田県,能代市
腹,1,akita,noshiro,秋田県,能代市
鞁,1,akita,noshiro,秋田県,能代市
凰,1,akita,noshiro,秋田県,能代市
蚕,2,akita,noshiro,秋田県,能代市
鰄,1,akita,noshiro,秋田県,能代市
槐,1,akita,noshiro,秋田県,能代市
護,8,kyoto,sakyo,京都府,京都市左京区
鮒,1,akita,noshiro,秋田県,能代市
朴,2,iwate,morioka,岩手県,盛岡市
腕,1,akita,yokote,秋田県,横手市
鼎,12,nagano,ida,長野県,飯田市
醍,66,kyoto,fushimi,京都府,京都市伏見区
醐,66,kyoto,fushimi,京都府,京都市伏見区
狙,1,akita,yokote,秋田県,横手市
商,1,akita,odate,秋田県,大館市
釈,5,kyoto,ukyo,京都府,京都市右京区
迦,5,kyoto,ukyo,京都府,京都市右京区
象,13,akita,nikaho,秋田県,にかほ市
餌,1,akita,odate,秋田県,大館市
披,1,akita,odate,秋田県,大館市
桁,1,akita,odate,秋田県,大館市
櫃,3,hyogo,kita,兵庫県,神戸市北区
噌,1,akita,odate,秋田県,大館市
餅,2,chiba,oamishirasato,千葉県,大網白里市
鮪,2,miyagi,kesennuma,宮城県,気仙沼市
カ,4,okayama,kasaoka,岡山県,笠岡市
ッ,2,hokkaido,ishikari,北海道,石狩市
鉦,1,akita,yuzawa,秋田県,湯沢市
稔,1,akita,yuzawa,秋田県,湯沢市
囲,1,akita,yuzawa,秋田県,湯沢市
去,18,iwate,morioka,岩手県,盛岡市
麓,5,hokkaido,furano,北海道,富良野市
股,2,akita,yurihonjo,秋田県,由利本荘市
防,2,kyoto,fushimi,京都府,京都市伏見区
糖,1,akita,yurihonjo,秋田県,由利本荘市
陳,2,akita,yurihonjo,秋田県,由利本荘市
帳,1,akita,yurihonjo,秋田県,由利本荘市
剥,1,akita,yurihonjo,秋田県,由利本荘市
濡,1,akita,yurihonjo,秋田県,由利本荘市
役,5,fukuoka,yahatanishi,福岡県,北九州市八幡西区
岫,7,aomori,shichinohe,青森県,上北郡七戸町
荘,25,osaka,sakaihigashi,大阪府,堺市東区
猟,1,akita,yurihonjo,秋田県,由利本荘市
虻,2,akita,katagami,秋田県,潟上市
妹,2,okayama,minami,岡山県,岡山市南区
乱,2,yamagata,tendo,山形県,天童市
鴬,3,hyogo,kawanishi,兵庫県,川西市
淀,17,tottori,yonago,鳥取県,米子市
鉱,4,akita,kitaakita,秋田県,北秋田市
笑,1,akita,kitaakita,秋田県,北秋田市
様,1,akita,kitaakita,秋田県,北秋田市
綴,1,akita,kitaakita,秋田県,北秋田市
抓,1,akita,nikaho,秋田県,にかほ市
然,2,kyoto,sakyo,京都府,京都市左京区
刺,27,iwate,oshu,岩手県,奥州市
昼,2,akita,hachirogata,秋田県,南秋田郡八郎潟町
叉,1,akita,hachirogata,秋田県,南秋田郡八郎潟町
葹,1,akita,ikawa,秋田県,南秋田郡井川町
楳,1,akita,ugo,秋田県,雄勝郡羽後町
掵,1,akita,ugo,秋田県,雄勝郡羽後町
到,2,fukuoka,kokurakita,福岡県,北九州市小倉北区
萢,1,aomori,aomori,青森県,青森市
第,31,iwate,fudai,岩手県,下閉伊郡普代村
蛍,1,aomori,aomori,青森県,青森市
藍,2,iwate,hachimantai,岩手県,八幡平市
狼,3,miyagi,tome,宮城県,登米市
徒,3,aomori,hachinohe,青森県,八戸市
堅,7,nagano,ida,長野県,飯田市
紙,2,aomori,hirosaki,青森県,弘前市
漉,2,aomori,hirosaki,青森県,弘前市
属,1,aomori,hirosaki,青森県,弘前市
楮,1,aomori,hirosaki,青森県,弘前市
昴,1,aomori,hirosaki,青森県,弘前市
銅,2,yamagata,yamagata,山形県,山形市
塘,1,aomori,hirosaki,青森県,弘前市
党,1,aomori,hirosaki,青森県,弘前市
障,1,aomori,hachinohe,青森県,八戸市
頃,3,niigata,sanjo,新潟県,三条市
株,3,aomori,kuroishi,青森県,黒石市
幾,8,hokkaido,mikasa,北海道,三笠市
蘇,45,gifu,kagamihara,岐阜県,各務原市
芭,1,aomori,goshogawara,青森県,五所川原市
蕉,1,aomori,goshogawara,青森県,五所川原市
雛,1,aomori,goshogawara,青森県,五所川原市
藻,3,nagasaki,tsushima,長崎県,対馬市
量,2,ishikawa,kanazawa,石川県,金沢市
淋,2,aomori,tohoku,青森県,上北郡東北町
苫,2,fukuoka,higashi,福岡県,福岡市東区
槌,1,aomori,tsugaru,青森県,つがる市
袰,2,iwate,iwaizumi,岩手県,下閉伊郡岩泉町
鰐,2,miyagi,tome,宮城県,登米市
厩,40,aomori,sotogahama,青森県,東津軽郡外ケ浜町
算,2,aomori,sotogahama,青森県,東津軽郡外ケ浜町
梹,1,aomori,sotogahama,青森県,東津軽郡外ケ浜町
榔,1,aomori,sotogahama,青森県,東津軽郡外ケ浜町
鐇,1,aomori,sotogahama,青森県,東津軽郡外ケ浜町
鎧,1,aomori,sotogahama,青森県,東津軽郡外ケ浜町
建,23,okayama,kita,岡山県,岡山市北区
漁,2,hokkaido,eniwa,北海道,恵庭市
驫,1,aomori,fukaura,青森県,西津軽郡深浦町
舮,1,aomori,fukaura,青森県,西津軽郡深浦町
舛,2,aomori,fujisaki,青森県,南津軽郡藤崎町
鯖,3,fukui,sabae,福井県,鯖江市
顔,3,yamagata,oe,山形県,西村山郡大江町
犹,1,aomori,shichinohe,青森県,上北郡七戸町
夷,4,kyoto,shimogyo,京都府,京都市下京区
皀,1,aomori,shichinohe,青森県,上北郡七戸町
賽,1,aomori,shichinohe,青森県,上北郡七戸町
竿,1,aomori,shichinohe,青森県,上北郡七戸町
哘,3,aomori,shichinohe,青森県,上北郡七戸町
笊,2,aomori,shichinohe,青森県,上北郡七戸町
モ,4,aomori,gonohe,青森県,三戸郡五戸町
蒼,1,aomori,shichinohe,青森県,上北郡七戸町
放,3,toyama,takaoka,富山県,高岡市
ヤ,5,tokushima,miyoshi,徳島県,三好市
椛,2,aomori,yokohama,青森県,上北郡横浜町
鶏,3,iwate,miyako,岩手県,宮古市
唄,38,hokkaido,bibai,北海道,美唄市
ダ,2,tokushima,miyoshi,徳島県,三好市
蛯,7,aomori,tohoku,青森県,上北郡東北町
籏,2,aomori,tohoku,青森県,上北郡東北町
枋,1,aomori,tohoku,青森県,上北郡東北町
素,2,miyagi,misato,宮城県,遠田郡美里町
敏,1,aomori,tohoku,青森県,上北郡東北町
蕩,1,aomori,tohoku,青森県,上北郡東北町
饅,1,aomori,tohoku,青森県,上北郡東北町
萠,2,aomori,tohoku,青森県,上北郡東北町
架,1,aomori,rokkasho,青森県,上北郡六ヶ所村
丈,16,fukuoka,itoshima,福岡県,糸島市
菜,4,kyoto,sakyo,京都府,京都市左京区
馳,2,mie,yokkaichi,三重県,四日市市
瓢,1,aomori,oirase,青森県,上北郡おいらせ町
労,3,shiga,omihachiman,滋賀県,近江八幡市
ミ,3,tokushima,miyoshi,徳島県,三好市
傘,1,aomori,gonohe,青森県,三戸郡五戸町
博,4,fukuoka,hakata,福岡県,福岡市博多区
埖,1,aomori,nanbu,青森県,三戸郡南部町
舌,56,osaka,sakaimihara,大阪府,堺市北区
巌,2,tottori,kurayoshi,鳥取県,倉吉市
犢,1,chiba,hanamigawa,千葉県,千葉市花見川区
旦,5,gifu,gifu,岐阜県,岐阜市
誉,11,hyogo,tatsuno,兵庫県,たつの市
食,4,hyogo,amagasaki,兵庫県,尼崎市
び,3,fukuoka,wakamatsu,福岡県,北九州市若松区
吠,1,chiba,choshi,千葉県,銚子市
典,3,chiba,ichikawa,千葉県,市川市
奉,3,kyoto,fushimi,京都府,京都市伏見区
飾,76,hyogo,himeji,兵庫県,姫路市
身,6,mie,tsu,三重県,津市
習,3,chiba,funabashi,千葉県,船橋市
録,1,chiba,matsudo,千葉県,松戸市
莚,1,chiba,noda,千葉県,野田市
轡,3,chiba,mobara,千葉県,茂原市
拓,10,chiba,sakura,千葉県,佐倉市
・,2,chiba,sakura,千葉県,佐倉市
隣,1,chiba,sakura,千葉県,佐倉市
鏑,2,chiba,sakura,千葉県,佐倉市
ユ,3,chiba,sakura,千葉県,佐倉市
射,2,chiba,togane,千葉県,東金市
求,1,chiba,togane,千葉県,東金市
ニ,2,hokkaido,shimukappu,北海道,勇払郡占冠村
萬,2,chiba,asahi,千葉県,旭市
奏,1,chiba,narashino,千葉県,習志野市
姉,2,chiba,ichihara,千葉県,市原市
剛,2,fukuoka,yahatanishi,福岡県,北九州市八幡西区
級,1,chiba,ichihara,千葉県,市原市
旧,6,chiba,kimitsu,千葉県,君津市
鰭,4,miyagi,wakuya,宮城県,遠田郡涌谷町
思,2,fukushima,aidsumisato,福島県,大沼郡会津美里町
ぬ,1,chiba,kamagaya,千葉県,鎌ヶ谷市
泪,1,chiba,kimitsu,千葉県,君津市
杢,1,chiba,kimitsu,千葉県,君津市
稱,1,chiba,futtsu,千葉県,富津市
へ,1,chiba,yachimata,千葉県,八街市
卜,2,chiba,inzai,千葉県,印西市
縁,2,tottori,nichinan,鳥取県,日野郡日南町
監,3,miyagi,izumi,宮城県,仙台市泉区
復,1,chiba,shiroi,千葉県,白井市
忽,1,chiba,minamiboso,千葉県,南房総市
磑,1,chiba,minamiboso,千葉県,南房総市
ホ,1,chiba,sosa,千葉県,匝瑳市
返,2,yamaguchi,ube,山口県,宇部市
笄,1,chiba,katori,千葉県,香取市
鴇,1,chiba,katori,千葉県,香取市
埴,1,chiba,sanmu,千葉県,山武市
歩,3,toyama,toyama,富山県,富山市
驚,2,chiba,chosei,千葉県,長生郡長生村
戊,5,nagasaki,unzen,長崎県,雲仙市
剃,1,chiba,shirako,千葉県,長生郡白子町
報,1,chiba,chonan,千葉県,長生郡長南町
茗,2,toyama,toyama,富山県,富山市
崩,2,nagasaki,shimabara,長崎県,島原市
可,14,hiroshima,asakita,広島県,広島市安佐北区
難,2,ehime,matsuyama,愛媛県,松山市
客,1,ehime,matsuyama,愛媛県,松山市
苞,1,ehime,matsuyama,愛媛県,松山市
饒,2,oita,oita,大分県,大分市
祓,4,kagoshima,kanoya,鹿児島県,鹿屋市
ブ,4,okayama,kasaoka,岡山県,笠岡市
ズ,2,ehime,imabari,愛媛県,今治市
紹,1,ehime,imabari,愛媛県,今治市
杣,1,ehime,imabari,愛媛県,今治市
界,4,iwate,miyako,岩手県,宮古市
阪,15,osaka,sakainaka,大阪府,堺市中区
蒋,1,ehime,uwajima,愛媛県,宇和島市
超,1,ehime,uwajima,愛媛県,宇和島市
灘,13,hyogo,minamiawaji,兵庫県,南あわじ市
鼡,1,ehime,uwajima,愛媛県,宇和島市
槇,8,osaka,sakaiminami,大阪府,堺市南区
赦,1,ehime,uwajima,愛媛県,宇和島市
蛤,1,ehime,uwajima,愛媛県,宇和島市
務,7,gifu,kagamihara,岐阜県,各務原市
裡,1,ehime,uwajima,愛媛県,宇和島市
霊,10,kyoto,kamigyo,京都府,京都市上京区
裁,1,ehime,yawatahama,愛媛県,八幡浜市
理,4,tokushima,awa,徳島県,阿波市
鎚,1,ehime,saijo,愛媛県,西条市
周,15,yamaguchi,iwakuni,山口県,岩国市
禎,1,ehime,saijo,愛媛県,西条市
肱,8,ehime,ozu,愛媛県,大洲市
予,2,mie,iga,三重県,伊賀市
髭,2,kyoto,yamashina,京都府,京都市山科区
瓶,15,ehime,seiyo,愛媛県,西予市
削,18,ehime,kamijima,愛媛県,越智郡上島町
杵,2,oita,usuki,大分県,臼杵市
礒,6,nara,yamatotakada,奈良県,大和高田市
侈,1,ehime,ikata,愛媛県,西宇和郡伊方町
敦,1,ehime,ainan,愛媛県,南宇和郡愛南町
鯆,1,ehime,ainan,愛媛県,南宇和郡愛南町
碆,1,ehime,ainan,愛媛県,南宇和郡愛南町
尼,5,nara,nara,奈良県,奈良市
謡,1,fukui,fukui,福井県,福井市
恐,1,fukui,fukui,福井県,福井市
甑,13,kagoshima,satsumasendai,鹿児島県,薩摩川内市
尉,1,fukui,fukui,福井県,福井市
椙,1,fukui,fukui,福井県,福井市
灯,2,fukui,fukui,福井県,福井市
栂,1,fukui,fukui,福井県,福井市
寮,1,fukui,fukui,福井県,福井市
茱,2,osaka,hannan,大阪府,大阪狭山市
芽,1,fukui,tsuruga,福井県,敦賀市
箸,1,fukui,tsuruga,福井県,敦賀市
鞠,1,fukui,tsuruga,福井県,敦賀市
竃,1,fukui,obama,福井県,小浜市
鬚,1,fukui,obama,福井県,小浜市
据,3,fukui,ono,福井県,大野市
唯,1,fukui,ono,福井県,大野市
瀧,2,mie,iga,三重県,伊賀市
寶,1,fukui,ono,福井県,大野市
